id,region,dialect_text,source_text,target_text
0666,Chittagong,অনে অনর পরিবার লই আঁরার বাড়িত আঁইয়ুন,translate Chittagong to Bangla: অনে অনর পরিবার লই আঁরার বাড়িত আঁইয়ুন,আপনি আপনার পরিবার সহ আমাদের বাসায় আসবেন
0668,Mymensingh,আমার লগে নাচবায়?,translate Mymensingh to Bangla: আমার লগে নাচবায়?,আমার সাথে নাচবা?
2435,Rangpur,ওমরা বিদ্যাশ যাইবে,translate Rangpur to Bangla: ওমরা বিদ্যাশ যাইবে,সে বিদেশে যাবে
1351,Pabna,আমাক ব্লক হইরি দ্যায় সবখ্যান থেন,translate Pabna to Bangla: আমাক ব্লক হইরি দ্যায় সবখ্যান থেন,আমাকে ব্লক করে দেয় সবখান থেকেই
1173,Jashore,দুই বছর আগে নিজের পছন্দেই বিয়ে করছিলাম,translate Jashore to Bangla: দুই বছর আগে নিজের পছন্দেই বিয়ে করছিলাম,দুই বছর আগে নিজের পছন্দেই বিয়ে করেছিলাম
0410,Noakhali,শিশুগো হ্রধানত গল্হ হুনতে মেলা ভালা লাগে,translate Noakhali to Bangla: শিশুগো হ্রধানত গল্হ হুনতে মেলা ভালা লাগে,শিশুরা প্রধানত গল্প শুনতে খুব ভালোবাসে
0678,Barishal,আম মোর প্রিয় ফল,translate Barishal to Bangla: আম মোর প্রিয় ফল,আম আমার প্রিয় ফল
1686,Jashore,মানুষের বার্ধক্য আর মৃত্যুকে আটকানো যায় না,translate Jashore to Bangla: মানুষের বার্ধক্য আর মৃত্যুকে আটকানো যায় না,মানুষের বার্ধক্য আর মৃত্যুকে ঠেকানো যায় না
0884,Rangpur,যত বড় হনু সবার চোখত এক প্রকার বিশ এর মত হয়ে গেনু মুই,translate Rangpur to Bangla: যত বড় হনু সবার চোখত এক প্রকার বিশ এর মত হয়ে গেনু মুই,যত বড় হলাম সবার চোখে এক প্রকার বিশ এর মত হয়ে গেলাম আমি
1808,Pabna,ছোটো গ্যাদারা গিরামের বাড়ীর উটিনে খেলতেছে,translate Pabna to Bangla: ছোটো গ্যাদারা গিরামের বাড়ীর উটিনে খেলতেছে,ছোটো বাচ্চারা গ্রামের বাড়ীর উঠানে খেলছে
0645,Chittagong,বাংলাদেশের মানষর অর্ধেকই অইলদে মাইয়্যাপোয়া।,translate Chittagong to Bangla: বাংলাদেশের মানষর অর্ধেকই অইলদে মাইয়্যাপোয়া।,বাংলাদেশের জনসংখ্যার অর্ধেকই নারী
0031,Mymensingh,আইন্নের হড়ালেহা হড়তে অইব,translate Mymensingh to Bangla: আইন্নের হড়ালেহা হড়তে অইব,আপনার পড়ালেখা করা উচিত
0470,Mymensingh,আমি ব্রাজিল ফুটবল দলরে সাপোর্ট করি,translate Mymensingh to Bangla: আমি ব্রাজিল ফুটবল দলরে সাপোর্ট করি,আমি ব্রাজিল ফুটবল দলকে সমর্থন করি
1096,Pabna,বাড়িত থেন ছাওয়াল দেহা শুরু হইরলি,translate Pabna to Bangla: বাড়িত থেন ছাওয়াল দেহা শুরু হইরলি,বাড়ি থেকে ছেলে দেখা শুরু করলো
1129,Noakhali,"কিন্তু হোলা মেলা ভালা মানুষ, কুনো নেশা নাই","translate Noakhali to Bangla: কিন্তু হোলা মেলা ভালা মানুষ, কুনো নেশা নাই",কিন্তু ছেলেটা অনেক ভালো মানুষ কোনো নেশা নাই
2144,Pabna,তুমি আমার কাছে মাফ চাও,translate Pabna to Bangla: তুমি আমার কাছে মাফ চাও,তুমি আমার কাছে ক্ষমা চাও
1714,Rangpur,তুমি কি হামার বারিত আচ্ছিলেন,translate Rangpur to Bangla: তুমি কি হামার বারিত আচ্ছিলেন,আপনি কি আমাদের বাড়িতে এসেছেন
1384,Barishal,এইরহম মোন মেজাজ লইয়া ঘরে সুখি হওয়া যায় না,translate Barishal to Bangla: এইরহম মোন মেজাজ লইয়া ঘরে সুখি হওয়া যায় না,এমন মনোভাব নিয়ে সংসারে কখনো সুখ আসে না
1405,Mymensingh,আমার জামাই টানা তিন বছর আমার জন্মদিনের কতা ভুইল্লা গেছে,translate Mymensingh to Bangla: আমার জামাই টানা তিন বছর আমার জন্মদিনের কতা ভুইল্লা গেছে,আমার স্বামী পর পর ৩ বছর আমার জন্মদিন মনেও রাখে নি
0083,Jashore,কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,translate Jashore to Bangla: কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন
0593,Barishal,ভালো মাইয়া পাই না,translate Barishal to Bangla: ভালো মাইয়া পাই না,ভালো মেয়ে পাচ্ছি না
0254,Mymensingh,আমি সাত মাস পীরিত কইরা একজনেরে বিয়া করছি,translate Mymensingh to Bangla: আমি সাত মাস পীরিত কইরা একজনেরে বিয়া করছি,আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি
0305,Noakhali,তুমি আর লগে আর মাতিও না,translate Noakhali to Bangla: তুমি আর লগে আর মাতিও না,তুমি আমার সাথে আর কথা বলবা না
0335,Chittagong,আঁই ভালো লাইগদ্দে আপনার কতা পড়ি।,translate Chittagong to Bangla: আঁই ভালো লাইগদ্দে আপনার কতা পড়ি।,আমি ভালো লাগলো আপনার কথা পড়ে
1004,Chittagong,ইতে আঁর পরিবারর হনে কেউরে সম্মান ন গরে,translate Chittagong to Bangla: ইতে আঁর পরিবারর হনে কেউরে সম্মান ন গরে,সে আমার পরিবারের কাউকে সম্মান করেনা
0250,Chittagong,ওই ছোডো পোয়াডা কোন কিছুই হুনতো চায় ন তার লগে দেখা গরতো চায়।,translate Chittagong to Bangla: ওই ছোডো পোয়াডা কোন কিছুই হুনতো চায় ন তার লগে দেখা গরতো চায়।,ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়
0340,Chittagong,আঁই আপনার কামরে ভালোবাসি।,translate Chittagong to Bangla: আঁই আপনার কামরে ভালোবাসি।,আমি আপনার কাজকে ভালোবাসি
1093,Rangpur,মোর কাছত আরো সময় লাবার লাগছিল,translate Rangpur to Bangla: মোর কাছত আরো সময় লাবার লাগছিল,আমার কাছে আরও সময় চাইতো
0013,Chittagong,আম্মু এদিন ঠিক হতা হই্ইলও,translate Chittagong to Bangla: আম্মু এদিন ঠিক হতা হই্ইলও,আম্মু ঐদিন ঠিক কথাই বলেছিলও
1143,Mymensingh,"ওরেই তো বালোবাসি, ওরে আমি ছাড়বার চাই না","translate Mymensingh to Bangla: ওরেই তো বালোবাসি, ওরে আমি ছাড়বার চাই না",তাকেই ভালোবাসি আমি তাকে ছাড়তে চাই না
0002,Mymensingh,আজ্জওয়া আমার মন বালা না,translate Mymensingh to Bangla: আজ্জওয়া আমার মন বালা না,আজকে আমার মন ভালো নেই
0296,Pabna,এই জিনিসডা লিয়ি আর কতা কোবির চাচ্চি নি,translate Pabna to Bangla: এই জিনিসডা লিয়ি আর কতা কোবির চাচ্চি নি,এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না
0901,Pabna,দিনে দিনে হতাশার মদ্যি ডুবি যাচ্চি ইর থে মুক্তি পাবো কিরহম হইরি,translate Pabna to Bangla: দিনে দিনে হতাশার মদ্যি ডুবি যাচ্চি ইর থে মুক্তি পাবো কিরহম হইরি,দিন দিন হতাশার মধ্যে ডুবে যাচ্ছি এর মুক্তি পাবো কিভাবে?
0380,Barishal,আর এউক্কা কতাও কইবেন না,translate Barishal to Bangla: আর এউক্কা কতাও কইবেন না,একটা কথাও আর বলবে না
0155,Chittagong,"এই মন আঁইজ তুঁয়ারে দিলাম,","translate Chittagong to Bangla: এই মন আঁইজ তুঁয়ারে দিলাম,",এই মন আজ তোমায় দিলাম
0785,Barishal,মুই আইজ বেইন্নাকালে চা খাই নাই,translate Barishal to Bangla: মুই আইজ বেইন্নাকালে চা খাই নাই,আমি আজ সকালে চা খাই নাই
0326,Chittagong,আঁরা হগ্গলে একসময়ে একসাথে আছি।,translate Chittagong to Bangla: আঁরা হগ্গলে একসময়ে একসাথে আছি।,আমাদের সবাই একসময়ে একসাথে আছি
2005,Pabna,তুমি চইলি যাওয়ার পর আমার জীবন থামি গেছে,translate Pabna to Bangla: তুমি চইলি যাওয়ার পর আমার জীবন থামি গেছে,তুমি চলে যাওয়ার পর আমার জীবন থেমে গেছে
1266,Mymensingh,আমি খেয়াল করছি অউ হউড়ি আর হের পুতের সম্পর্ক মেলা খারাপ,translate Mymensingh to Bangla: আমি খেয়াল করছি অউ হউড়ি আর হের পুতের সম্পর্ক মেলা খারাপ,আমি খেয়াল করছি উনি আর উনার ছেলের সম্পর্ক খুব খারাপ
1363,Pabna,আমার বুনি ক্যা এই পতে পাউ দিলি জানাজানি অইলি কিরহম হইরি মুক দেহাব সেই চিন্তাশ গুমাবির পারিনি,translate Pabna to Bangla: আমার বুনি ক্যা এই পতে পাউ দিলি জানাজানি অইলি কিরহম হইরি মুক দেহাব সেই চিন্তাশ গুমাবির পারিনি,আমার বোন কেন এই পথে পা বাড়ালো জানাজানি হলে কিভাবে মুখ দেখাবো সেই চিন্তায় ঘুমাতে পারছি না
0492,Pabna,আমার আব্বা বিদ্যাশে থাহে,translate Pabna to Bangla: আমার আব্বা বিদ্যাশে থাহে,আমার আব্বু বিদেশে থাকে
0102,Barishal,হ্যাকা যানো আবেগের ভালোপাওয়া বিবেকের কাছে হাইররা যাইবে,translate Barishal to Bangla: হ্যাকা যানো আবেগের ভালোপাওয়া বিবেকের কাছে হাইররা যাইবে,কারন আবেগের ভালোবাসা একদিন বিবেকের কাছে হেরে যাবে
2380,Pabna,গিরামের মানুষরা ছাওয়ালডার থেন দূরে থাইকপির চেষ্টা হইরতো,translate Pabna to Bangla: গিরামের মানুষরা ছাওয়ালডার থেন দূরে থাইকপির চেষ্টা হইরতো,গ্রামের মানুষরা ছেলেটির থেকে দূরে থাকতে চেষ্টা করত
0066,Chittagong,স্কুল অর তো অইতে ইতারার প্রেম আচ্চিল,translate Chittagong to Bangla: স্কুল অর তো অইতে ইতারার প্রেম আচ্চিল,স্কুল জীবন থেকে তাদের প্রেম ছিলো
0098,Rangpur,আজীবন তোমাক আমি ভালবেসি যাবোই,translate Rangpur to Bangla: আজীবন তোমাক আমি ভালবেসি যাবোই,সারা জীবন তোমায় আমি ভালবেসে যাবো
0789,Chittagong,আঁরতুন লাগেদে আঁর বন্ধু আঁরে বেশি ভালোবাসে,translate Chittagong to Bangla: আঁরতুন লাগেদে আঁর বন্ধু আঁরে বেশি ভালোবাসে,আমার বন্ধু হয়ত আমাকে অনেক ভালবাসে
1291,Barishal,মায় এইসব দেইক্কা বেমালা কষ্ট পাইছে যেহেতু মোর বাপ নাই,translate Barishal to Bangla: মায় এইসব দেইক্কা বেমালা কষ্ট পাইছে যেহেতু মোর বাপ নাই,আম্মু এসব দেখে খুব কষ্ট পাচ্ছেন যেহেতু আমার বাবা নেই
1472,Pabna,কি ওবি তার জন্যি কাদি,translate Pabna to Bangla: কি ওবি তার জন্যি কাদি,কি হবে তার জন্য কেঁদে?
2375,Rangpur,অ্যাকটা গ্রামোত একটা খারাপ চ্যাংড়া থাকতো,translate Rangpur to Bangla: অ্যাকটা গ্রামোত একটা খারাপ চ্যাংড়া থাকতো,একটি গ্রামে একজন খারাপ ছেলে থাকতো
2391,Pabna,আমি আপনেক কহোনোই বোলবো লয়,translate Pabna to Bangla: আমি আপনেক কহোনোই বোলবো লয়,আমি আপনাকে কখনো ভুলব না
0809,Jashore,খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে,translate Jashore to Bangla: খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে,খোঁচা মারার মতো কথা আছেই যে আমার দুই বিয়ে
1685,Noakhali,তাই তখন হে কারও লগে কথা কইত না,translate Noakhali to Bangla: তাই তখন হে কারও লগে কথা কইত না,তাই তখন সে কারও সাথে কথা বলত না
1439,Mymensingh,তোমার হগল কতা মানুম,translate Mymensingh to Bangla: তোমার হগল কতা মানুম,তোমার সব কথা মেনে নিবো
1243,Noakhali,তোর সংসারের হ্রয়োজন মিটাইবার লাইগ্যা আর জন্ম অয় নাই,translate Noakhali to Bangla: তোর সংসারের হ্রয়োজন মিটাইবার লাইগ্যা আর জন্ম অয় নাই,তোমার সংসারের প্রয়োজন মেটানোর জন্য আমার জন্ম হয়নি
0267,Noakhali,আর ভালোবাসার মাইষের লগে আর বিয়া হইছে,translate Noakhali to Bangla: আর ভালোবাসার মাইষের লগে আর বিয়া হইছে,আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে
1028,Mymensingh,কিন্তু আমি জ্যান্ত থাইকাই মইরা রইছি,translate Mymensingh to Bangla: কিন্তু আমি জ্যান্ত থাইকাই মইরা রইছি,কিন্তু আমি বেঁচে থেকে মরে আছি
0964,Noakhali,আই অবাক অইয়া গেছিলাম,translate Noakhali to Bangla: আই অবাক অইয়া গেছিলাম,আমি অবাক হয়ে গেছিলাম
1101,Rangpur,এরই মাঝত ফির একটা অঘটন ঘটি গেল,translate Rangpur to Bangla: এরই মাঝত ফির একটা অঘটন ঘটি গেল,এরই মাঝে একটি অঘটন ঘটে গেলো
0927,Mymensingh,পোলাডা রাস্তা দিয়া হাঁইট্যা যাইতাছে,translate Mymensingh to Bangla: পোলাডা রাস্তা দিয়া হাঁইট্যা যাইতাছে,ছেলেটি রাস্তা দিয়ে হেঁটে যাচ্ছে
1150,Mymensingh,"হেইহানেই এক বাংলাদেশি পোলার সাথে চিনা-জানা অয়, এরপরে প্রেম","translate Mymensingh to Bangla: হেইহানেই এক বাংলাদেশি পোলার সাথে চিনা-জানা অয়, এরপরে প্রেম",ওখানেই এক বাংলাদেশী ছেলের সাথে পরিচয় তারপর সম্পর্ক
0020,Jashore,সে সিলেট থেকে আমার সাথে দেখা করতে আইলো,translate Jashore to Bangla: সে সিলেট থেকে আমার সাথে দেখা করতে আইলো,সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল
0006,Mymensingh,মাইয়াডা একটা লাল রঙ্গের শাড়ি হইরা আমার লগে দেহা করতে আইছিন,translate Mymensingh to Bangla: মাইয়াডা একটা লাল রঙ্গের শাড়ি হইরা আমার লগে দেহা করতে আইছিন,মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল
1339,Rangpur,তাই সম্পর্কটা বেশ ভালোই আছলো,translate Rangpur to Bangla: তাই সম্পর্কটা বেশ ভালোই আছলো,তাই সম্পর্কটা বেশ ভালই ছিল
0831,Chittagong,মেকআপ গইরগি দি হইল্লে অইয়ি?,translate Chittagong to Bangla: মেকআপ গইরগি দি হইল্লে অইয়ি?,মেকআপ টা কেমন হইসে?
0127,Rangpur,মোক মেলা ঠান্ডা লাগবেনছে,translate Rangpur to Bangla: মোক মেলা ঠান্ডা লাগবেনছে,আমার অনেক ঠাণ্ডা লাগছে
1094,Noakhali,আর বয়স তখন ১৬,translate Noakhali to Bangla: আর বয়স তখন ১৬,বয়স আমার তখন ১৬ তে পড়লো
0579,Barishal,হুদা এউক্কা গাড়ি পানি হইলেই ২ডা দিন চইল্লা যাইতে,translate Barishal to Bangla: হুদা এউক্কা গাড়ি পানি হইলেই ২ডা দিন চইল্লা যাইতে,শুধু এক গাড়ি পানি হলেও ২টা দিন চলা যেতো
0666,Chittagong,অনে অনর পরিবার লই আঁরার বাড়িত আঁইয়ুন,translate Chittagong to Bangla: অনে অনর পরিবার লই আঁরার বাড়িত আঁইয়ুন,আপনি আপনার পরিবার সহ আমাদের বাসায় আসবেন
0557,Chittagong,আঁই আইজ্জ্যা বউতদিন বাদে ইতের লই হতা হইয়ি,translate Chittagong to Bangla: আঁই আইজ্জ্যা বউতদিন বাদে ইতের লই হতা হইয়ি,আমি আজকে অনেকদিন পর তার সাথে কথা বলেছি
1205,Mymensingh,"আমি একটা সরকারি চাকহি করি, কিন্তু হেয় তো কিছুই করে না","translate Mymensingh to Bangla: আমি একটা সরকারি চাকহি করি, কিন্তু হেয় তো কিছুই করে না",আমি একটা সরকারি চাকরি করি কিন্তু সে কিছু করে না
0453,Chittagong,হলিকাতা মোনবাগানোর ফুটবল দল ইবে বউত্ জনফিও,translate Chittagong to Bangla: হলিকাতা মোনবাগানোর ফুটবল দল ইবে বউত্ জনফিও,কলকাতা মোহনবাগানের ফুটবল দল অনেক জনপ্রিয়
1987,Rangpur,মোর বিয়ে করার জন্যে আরেকখান দিন আগাইছে,translate Rangpur to Bangla: মোর বিয়ে করার জন্যে আরেকখান দিন আগাইছে,আমার বিয়ে করার জন্য আরেকটা দিন এগিয়েছে
1021,Noakhali,এইসব সমস্যার সমাধান কই হামু,translate Noakhali to Bangla: এইসব সমস্যার সমাধান কই হামু,এসব সমস্যার সমাধান কোথায় পাবো
0130,Mymensingh,তোর মনডা খারাপ নাকি?,translate Mymensingh to Bangla: তোর মনডা খারাপ নাকি?,তোমার কি মন খারাপ ?
2282,Rangpur,চেংড়ীটা চেংরড়াটার অপেক্ষায় থাকে,translate Rangpur to Bangla: চেংড়ীটা চেংরড়াটার অপেক্ষায় থাকে,মেয়েটি ছেলেটার অপেক্ষায় থাকে
0377,Chittagong,"আঁই যদি কোনো ভুল গরি, তেঁইলে আঁরে দয়া গরি হঅই দিয়েন।","translate Chittagong to Bangla: আঁই যদি কোনো ভুল গরি, তেঁইলে আঁরে দয়া গরি হঅই দিয়েন।",যদি আমি ভুল করি তাহলে আমাকে দয়া করে শুধরে দিবেন
1357,Barishal,মোর বইনের কাম কাইজ মেলা দিন ধইরা সন্দেহজনক লাগায় মুই হেরে নজরে রাখছালাম,translate Barishal to Bangla: মোর বইনের কাম কাইজ মেলা দিন ধইরা সন্দেহজনক লাগায় মুই হেরে নজরে রাখছালাম,আমার বোনের কাজ কথা অনেক দিন ধরেই সন্দেহজনক মনে হওয়ায় আমি তাকে নজরে রাখছিলাম
2121,Pabna,আমার সুয়ামী রাত্রিরি বন্দুগরে সাতে আড্ডা দেয়,translate Pabna to Bangla: আমার সুয়ামী রাত্রিরি বন্দুগরে সাতে আড্ডা দেয়,আমার স্বামী রাতে বন্ধুদের সাথে আড্ডা দেয়
0361,Mymensingh,"বউরে মহব্বত করুইন, কিন্তু কার বউ হেইডা আগে দেইখা লইন","translate Mymensingh to Bangla: বউরে মহব্বত করুইন, কিন্তু কার বউ হেইডা আগে দেইখা লইন","বউকে ভালোবাসতে শিখুন, কিন্তু কার বউ সেটা দেখার বিষয় না"
0764,Jashore,বিপদ বলে কয়ে আসে না,translate Jashore to Bangla: বিপদ বলে কয়ে আসে না,বিপদ বলে কয়ে আসে না
1078,Rangpur,প্রথম থাকিয়ে মোর শাশুড়ি মোক মেলা ভালবাসে,translate Rangpur to Bangla: প্রথম থাকিয়ে মোর শাশুড়ি মোক মেলা ভালবাসে,প্রথম থেকেই আমার শাশুড়ি আমাকে অনেক ভালবাসে
1623,Rangpur,তাছাড়া আরেকখান কারণও আছে,translate Rangpur to Bangla: তাছাড়া আরেকখান কারণও আছে,তাছাড়া আরেকটা কারণও আছে
0146,Pabna,আপনে কারো জীবনে সুক আইনি দিব্যান বাইবি পেম হরেন,translate Pabna to Bangla: আপনে কারো জীবনে সুক আইনি দিব্যান বাইবি পেম হরেন,আপনি কারো জীবনে সুখ এনে দেবেন ভেবে প্রেম করুন
1427,Barishal,দুনিয়া তে আসলে চেহারার সুন্দারই হগলকিচ্চু,translate Barishal to Bangla: দুনিয়া তে আসলে চেহারার সুন্দারই হগলকিচ্চু,দুনিয়া তে আসলে চেহারার সুন্দরই সব
0683,Chittagong,আঁই তোঁয়ার বাদামি কালার চোখ ওন বেশি ভালোবাসি,translate Chittagong to Bangla: আঁই তোঁয়ার বাদামি কালার চোখ ওন বেশি ভালোবাসি,আমি তোমার বাদামী চোখ জোড়া ভালোবাসি
2439,Pabna,তারা তিন বাই ছিলি কিন্তু তাগরে মা ছিলি না,translate Pabna to Bangla: তারা তিন বাই ছিলি কিন্তু তাগরে মা ছিলি না,তারা তিন ভাই ছিল কিন্তু তাদের মা ছিলনা
1430,Barishal,কোন এক বিলে মোগো কতা শুরু হয়,translate Barishal to Bangla: কোন এক বিলে মোগো কতা শুরু হয়,কোনো এক ভাবে আমাদের কথা শুরু হয়
0920,Chittagong,অনের লগে কথা কইতে আঁর বেশি ভালা লাগে,translate Chittagong to Bangla: অনের লগে কথা কইতে আঁর বেশি ভালা লাগে,আপনার সাথে কথা বলতে অনেক ভালো লাগে আমার
0805,Mymensingh,আমার পয়লা বিয়াডাত আমারে জোর কইরা বহাইছিল,translate Mymensingh to Bangla: আমার পয়লা বিয়াডাত আমারে জোর কইরা বহাইছিল,আমার প্রথম বিয়ে আমাকে জোর করে দেয়
1203,Jashore,আমার ৭ বছরের সব কিছু শেষ,translate Jashore to Bangla: আমার ৭ বছরের সব কিছু শেষ,আমার ৭ বছরের সব কিছু শেষ
0762,Barishal,মুই ভালো নাই,translate Barishal to Bangla: মুই ভালো নাই,আমি ভালো নেই
0605,Rangpur,ব্রাজিল ফুটবলত সেরা দল,translate Rangpur to Bangla: ব্রাজিল ফুটবলত সেরা দল,ব্রাজিল ফুটবলের সেরা দল
0939,Jashore,আমরা হইরা গেছি।,translate Jashore to Bangla: আমরা হইরা গেছি।,আমরা হেরে গেছি
2277,Noakhali,আঁই ভালা হোলা,translate Noakhali to Bangla: আঁই ভালা হোলা,আমি ভালো ছেলে
1516,Rangpur,উপহার দিবার অনেকের ভালো নাগে,translate Rangpur to Bangla: উপহার দিবার অনেকের ভালো নাগে,উপহার দিতে অনেকের ভালো লাগে
0270,Jashore,আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,translate Jashore to Bangla: আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই,আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই
0792,Jashore,আমি আমার বিড়েলের সাথে খেলতি অনেক ভালোবাসি,translate Jashore to Bangla: আমি আমার বিড়েলের সাথে খেলতি অনেক ভালোবাসি,আমি আমার বিড়ালের সাথে খেলতে অনেক ভালবাসি
2416,Noakhali,আর একডা মাইয়া বাচ্চা আছে,translate Noakhali to Bangla: আর একডা মাইয়া বাচ্চা আছে,আমার বাচ্চা একটি মেয়ে আছে
1760,Noakhali,সামনে কোরবানি ঈদ আইতাছে,translate Noakhali to Bangla: সামনে কোরবানি ঈদ আইতাছে,সামনে কোরবানি ঈদ আসছে
0024,Rangpur,ওয় মোক অপমান করে,translate Rangpur to Bangla: ওয় মোক অপমান করে,সে আমাকে অপমান করে
0176,Jashore,তুমি যদি চাও বৃষ্টি হবে আজ,translate Jashore to Bangla: তুমি যদি চাও বৃষ্টি হবে আজ,তুমি যদি চাও বৃষ্টি হবে আজ
0236,Jashore,আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে,translate Jashore to Bangla: আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে,আমি কোনদিন চিন্তাও করিনি আমার মেয়ে তার মার আদর ভালোবাসা ছাড়া বড় হবে বাসার কাজের মানুষের কাছে
1129,Pabna,কিন্তু ছাওয়ালডা ম্যালা বালো মানুষ কোনো নিশা নাই,translate Pabna to Bangla: কিন্তু ছাওয়ালডা ম্যালা বালো মানুষ কোনো নিশা নাই,কিন্তু ছেলেটা অনেক ভালো মানুষ কোনো নেশা নাই
1094,Barishal,বয়স মোর তহন ১৬ তে পড়লো,translate Barishal to Bangla: বয়স মোর তহন ১৬ তে পড়লো,বয়স আমার তখন ১৬ তে পড়লো
2124,Noakhali,একডা বিবাহিত মাইয়া রাস্তা দিয়া হাইটা যাইতাছে,translate Noakhali to Bangla: একডা বিবাহিত মাইয়া রাস্তা দিয়া হাইটা যাইতাছে,একটা বিবাহিত মহিলা রাস্তা দিয়ে হেতে যাচ্ছে
2064,Rangpur,চেংড়াটা ছুটির দিনত ও কলেজত যায়,translate Rangpur to Bangla: চেংড়াটা ছুটির দিনত ও কলেজত যায়,ছেলেটি ছুটির দিনেও কলেজে যায়
0089,Chittagong,যে থাকিবো ইতে এনেও থাকিব,translate Chittagong to Bangla: যে থাকিবো ইতে এনেও থাকিব,তুমি বলছো যে থাকার সে এমনিই থেকে যাবে
1390,Noakhali,আই রাগ কইরা থাকলেও হে বুঝতো না,translate Noakhali to Bangla: আই রাগ কইরা থাকলেও হে বুঝতো না,আমি রেগে থাকলেও সে বুঝতো না
1344,Barishal,হে হের বাড়তেও যায় নাই,translate Barishal to Bangla: হে হের বাড়তেও যায় নাই,সে তাঁর বাসায়ও যায়নি
2011,Rangpur,মোর কোলত আসিয়া শিশুখান তার মাওক খোঁজে মনে হয়,translate Rangpur to Bangla: মোর কোলত আসিয়া শিশুখান তার মাওক খোঁজে মনে হয়,আমার কোলে এসে শিশুটি তার মাকে খোঁজে মনে হয়
1654,Jashore,আমি ঠিক বলিছি,translate Jashore to Bangla: আমি ঠিক বলিছি,আমি ঠিকই বলেছি
0909,Mymensingh,"এ কী কও, কেমনে সম্ভব!","translate Mymensingh to Bangla: এ কী কও, কেমনে সম্ভব!",এ কী করে সম্ভব
0779,Chittagong,আঁর মাথা গরম থাহে,translate Chittagong to Bangla: আঁর মাথা গরম থাহে,আমার মাথা গরম থাকে
0394,Rangpur,হামরা অটেকোনা অনেক মজা করমো,translate Rangpur to Bangla: হামরা অটেকোনা অনেক মজা করমো,আমরা সেখানে অনেক মজা করব
0001,Chittagong,ক্যান আছ্?,translate Chittagong to Bangla: ক্যান আছ্?,কেমন আছো ?
0977,Pabna,আমি বিদ্যাশ গিছিল্যাম,translate Pabna to Bangla: আমি বিদ্যাশ গিছিল্যাম,আমি বিদেশে গেছিলাম
2368,Pabna,তায়ারে সাতে আমি সব সময় আনন্দে ভইরি থাহি,translate Pabna to Bangla: তায়ারে সাতে আমি সব সময় আনন্দে ভইরি থাহি,তাদের সঙ্গে আমি সব সময় আনন্দে ভরে থাকি
0623,Chittagong,তোরে ধন্যবাদ এইল্লে উগ্গো বইয়োর খুজি দেবার লাই,translate Chittagong to Bangla: তোরে ধন্যবাদ এইল্লে উগ্গো বইয়োর খুজি দেবার লাই,তােকে ধন্যবাদ এমন ভালাে একটি বইয়ের খোজ দেওয়ার জন্য
0202,Rangpur,"আগামিতে মোর বেডা বেডি যখন এইসব গান দেখবো, তহন বুঝবো ওমার বাপ কেদন রোমান্টিক আছিল","translate Rangpur to Bangla: আগামিতে মোর বেডা বেডি যখন এইসব গান দেখবো, তহন বুঝবো ওমার বাপ কেদন রোমান্টিক আছিল",ভবিষ্যতে আমার ছেলে মেয়ে যখন এসব গান দেখবে তার বাবা কতটা রোমান্টিক ছিল
0862,Mymensingh,২য় বিয়া কইরাও হেশান্তি পায় নাই,translate Mymensingh to Bangla: ২য় বিয়া কইরাও হেশান্তি পায় নাই,সে দ্বিতীয় বিয়ে করে শান্তি পায় নি
0363,Pabna,স্বপ্ন দেকল্যাম ক্রাশের সাতে গুমাচ্চি তারপর যা অইলি সব ইতিহাস,translate Pabna to Bangla: স্বপ্ন দেকল্যাম ক্রাশের সাতে গুমাচ্চি তারপর যা অইলি সব ইতিহাস,স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেছি তার পর যা হলো সব ইতিহাস
1673,Rangpur,দাদি অবাক চোখে মোর দিকে তাকাইলেন,translate Rangpur to Bangla: দাদি অবাক চোখে মোর দিকে তাকাইলেন,দাদি অবাক চোখে আমার দিকে তাকালেন
